id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,budget
23035911,Spacious Two Bedroom Apt near Columbia University,4100176,Sehee,Manhattan,Morningside Heights,40.80557,-73.96441,Entire home/apt,125,5,1,2018-03-14,0.06,1,0,Average
23055816,Sunny and comfortable Upper West Side Manhattan,169704873,Michele,Manhattan,Morningside Heights,40.81064,-73.95734,Private room,150,14,6,2018-06-22,0.41,1,0,Average
23072631,Best 2BR apartment you will get close to Columbia,76428733,Thomas,Manhattan,Morningside Heights,40.8045,-73.96383,Entire home/apt,150,6,1,2018-03-15,0.06,1,0,Average
23096661,1BR Apartment on UWS!,490608,Sush,Manhattan,Morningside Heights,40.80878,-73.95777,Entire home/apt,90,10,5,2019-05-04,0.31,1,0,Average
23378803,Tranquil Morningside Apartment,51369575,Elena,Manhattan,Morningside Heights,40.80405,-73.96375,Private room,67,3,7,2018-05-03,0.43,1,0,Average
23417242,【限1~2名女生】近哥伦比亚大学超方便短租房【无其他费用】(情侣请私聊),174628863,Lingqing,Manhattan,Morningside Heights,40.81449,-73.95841999999999,Private room,60,2,3,2018-05-08,0.18,1,0,Average
23605375,Manhattan Gem,157658093,Kara,Manhattan,Morningside Heights,40.81453,-73.96141,Entire home/apt,125,3,3,2018-07-10,0.19,1,0,Average
23669140,Beautiful 1 BD Apt in Upper West Manhattan,43264429,דניאל,Manhattan,Morningside Heights,40.80454,-73.9645,Private room,120,1,2,2018-12-24,0.16,1,0,Average
24058869,"Upper West / Morningside Heights Apt, Near Subway",81022597,Daniel,Manhattan,Morningside Heights,40.809470000000005,-73.96356999999999,Entire home/apt,100,3,0,,,1,0,Average
24131843,"Snug, Sun Flooded Room in The Upper West Side",14742776,Daniyal,Manhattan,Morningside Heights,40.80466,-73.96529,Private room,55,4,3,2018-04-13,0.2,1,0,Average
24334634,River and Park Views from Balcony,3220590,Nova,Manhattan,Morningside Heights,40.80798,-73.96585,Entire home/apt,95,7,0,,,1,0,Average
24397824,Cozy private Bedroom in upper Manhattan!,72423116,Isabelle,Manhattan,Morningside Heights,40.80385,-73.96499,Private room,100,1,17,2019-06-26,1.36,1,31,Average
24431205,"A cozy private room, close to Columbia!",20267412,Minami,Manhattan,Morningside Heights,40.808679999999995,-73.95801,Private room,55,4,2,2018-08-17,0.16,1,0,Average
24514134,紐約哥大週邊優質短租,16828799,哲緯,Manhattan,Morningside Heights,40.8058,-73.9647,Entire home/apt,110,10,0,,,1,0,Average
